Make,Model,Year,City MPG (FT1),Highway MPG (FT1),Combined MPG (FT1)
Audi,A8 L,2010,16,23,18
Audi,Q5,2010,18,23,20
Audi,Q7,2010,13,18,15
Audi,Q7,2010,14,19,16
Audi,R8,2010,13,20,16
Audi,R8,2010,13,18,15
Audi,R8,2010,12,20,15
Audi,R8,2010,12,19,15
Audi,S4,2010,18,28,21
Audi,S4,2010,18,27,21
Audi,S5,2010,16,24,19
Audi,S5,2010,14,22,17
Audi,S5 Cabriolet,2010,17,26,20
Audi,S6,2010,14,19,16
Audi,TT Coupe quattro,2010,21,29,24
Audi,TT Roadster quattro,2010,21,29,24
BMW,128ci Convertible,2010,18,27,21
BMW,128ci Convertible,2010,18,28,22
BMW,128i,2010,18,28,22
BMW,128i,2010,18,28,22
BMW,135i,2010,18,25,20
BMW,135i,2010,18,25,20
BMW,135i Convertible,2010,17,26,20
BMW,135i Convertible,2010,17,26,20
BMW,328ci,2010,18,28,22
BMW,328ci,2010,18,28,22
BMW,328ci Convertible,2010,18,27,21
BMW,328ci Convertible,2010,17,26,20
BMW,328ci xDrive,2010,17,25,20
BMW,328ci xDrive,2010,17,25,20
BMW,328i,2010,18,28,22
BMW,328i,2010,18,28,22
BMW,328i Sport Wagon,2010,18,27,21
BMW,328i Sport Wagon,2010,17,26,20
BMW,328i Sport Wagon xDrive,2010,17,25,20
BMW,328i Sport Wagon xDrive,2010,17,25,20
BMW,328i xDrive,2010,17,25,20
BMW,328i xDrive,2010,17,25,20
BMW,335ci,2010,17,26,20
BMW,335ci,2010,17,26,20
BMW,335ci Convertible,2010,17,26,20
BMW,335ci Convertible,2010,17,26,20
BMW,335ci xDrive,2010,17,25,20
BMW,335ci xDrive,2010,16,25,19
BMW,335d,2010,23,36,27
BMW,335i,2010,17,26,20
BMW,335i,2010,17,26,20
BMW,335i xDrive,2010,17,25,20
BMW,335i xDrive,2010,16,25,19
BMW,528i,2010,18,27,21
BMW,528i,2010,18,28,22
BMW,528i xDrive,2010,17,25,20
BMW,528i xDrive,2010,17,25,20
BMW,535i,2010,17,26,20
BMW,535i,2010,17,26,20
BMW,535i Gran Turismo,2010,19,28,22
BMW,535i Sport Wagon xDrive,2010,16,24,19
BMW,535i Sport Wagon xDrive,2010,16,23,18
BMW,535i xDrive,2010,17,25,20
BMW,535i xDrive,2010,16,25,19
BMW,550 GT,2010,15,22,18
BMW,550i,2010,15,23,18
BMW,550i,2010,15,22,18
BMW,550i xDrive GT,2010,15,22,18
BMW,650ci,2010,15,23,18
BMW,650ci,2010,15,22,18
BMW,650ci Convertible,2010,15,23,18
BMW,650ci Convertible,2010,14,21,16
BMW,750i,2010,15,22,17
BMW,750i xDrive,2010,14,20,16
BMW,750Li,2010,14,21,17
BMW,750Li xDrive,2010,14,20,16
BMW,760Li,2010,13,19,15
BMW,ActiveHybrid X6,2010,17,19,18
BMW,M3,2010,14,20,16
BMW,M3,2010,14,20,16
BMW,M3 Convertible,2010,14,20,16
BMW,M3 Convertible,2010,13,20,16
BMW,M3 Coupe,2010,14,20,16
BMW,M3 Coupe,2010,14,20,16
BMW,M5,2010,11,17,13
BMW,M5,2010,11,17,13
BMW,M6,2010,11,17,13
BMW,M6,2010,11,17,13
BMW,M6 Convertible,2010,11,17,13
BMW,M6 Convertible,2010,11,17,13
BMW,X3 xDrive30i,2010,17,24,20
BMW,X3 xDrive30i,2010,17,24,19
BMW,X5 xDrive30i,2010,15,21,18
BMW,X5 xDrive35d,2010,19,26,22
BMW,X5 xDrive48i,2010,14,19,16
BMW,X5 xDriveM,2010,12,17,14
BMW,X6 xDrive35i,2010,15,21,17
BMW,X6 xDrive50i,2010,13,18,15
BMW,X6 xDriveM,2010,12,17,14
BMW,Z4 sDrive30i,2010,18,28,22
BMW,Z4 sDrive30i,2010,18,28,22
BMW,Z4 sDrive35i,2010,17,24,20
BMW,Z4 sDrive35i,2010,18,25,20
Bugatti,Veyron,2010,8,14,10
Buick,Enclave AWD,2010,16,22,18
Buick,Enclave FWD,2010,17,24,19
Buick,Lacrosse/Allure,2010,17,26,20
Buick,Lacrosse/Allure,2010,17,27,21
Buick,Lacrosse/Allure,2010,19,30,23
Buick,Lacrosse/Allure AWD,2010,16,25,19
Buick,Lucerne,2010,15,22,18
Buick,Lucerne,2010,17,26,20
Buick,Lucerne FFV,2010,17,26,20
Cadillac,CTS,2010,18,27,21
Cadillac,CTS,2010,18,27,22
Cadillac,CTS,2010,16,25,19
Cadillac,CTS,2010,16,26,19
Cadillac,CTS AWD,2010,18,27,21
Cadillac,CTS AWD,2010,18,26,21
Cadillac,CTS Wagon,2010,18,26,21
Cadillac,CTS Wagon,2010,18,27,22
Cadillac,CTS Wagon AWD,2010,18,26,21
Cadillac,CTS Wagon AWD,2010,18,26,21
Cadillac,CTS-V,2010,12,18,14
Cadillac,CTS-V,2010,14,19,16
Cadillac,DTS,2010,15,22,18
Cadillac,DTS,2010,15,23,18
Cadillac,Escalade 2WD FFV,2010,14,20,16
Cadillac,Escalade AWD FFV,2010,13,20,15
Cadillac,Escalade ESV 2WD FFV,2010,14,20,16
Cadillac,Escalade Hybrid 2WD,2010,21,22,22
Cadillac,Funeral Coach / Hearse,2010,12,16,14
Cadillac,Limousine,2010,12,18,14
Cadillac,SRX 2WD,2010,18,25,21
Cadillac,SRX AWD,2010,17,23,19
Cadillac,SRX AWD,2010,15,22,18
Cadillac,STS,2010,18,27,21
Cadillac,STS,2010,15,24,18
Cadillac,STS AWD,2010,18,27,21
Cadillac,STS AWD,2010,15,22,17
Chevrolet,Avalanche 1500 2WD FFV,2010,15,21,17
Chevrolet,Avalanche 1500 2WD FFV,2010,12,19,14
Chevrolet,Aveo,2010,25,34,28
Chevrolet,Aveo,2010,27,35,30
Chevrolet,Aveo 5,2010,25,34,28
Chevrolet,Aveo 5,2010,27,35,30
Chevrolet,Camaro,2010,18,29,22
Chevrolet,Camaro,2010,16,25,19
Chevrolet,Camaro,2010,17,29,21
Chevrolet,Camaro,2010,16,24,19
Chevrolet,Cobalt Coupe,2010,24,33,27
Chevrolet,Cobalt Coupe,2010,25,35,29
Chevrolet,Cobalt Sedan,2010,24,33,27
Chevrolet,Cobalt Sedan,2010,25,35,29
Chevrolet,Cobalt SS Coupe,2010,22,30,25
Chevrolet,Cobalt XFE Coupe,2010,25,37,30
Chevrolet,Cobalt XFE Sedan,2010,25,37,30
Chevrolet,Colorado 2WD,2010,18,25,21
Chevrolet,Colorado 2WD,2010,17,23,19
Chevrolet,Colorado 2WD,2010,15,20,17
Chevrolet,Colorado 2WD,2010,18,25,21
Chevrolet,Colorado 4WD,2010,17,23,20
Chevrolet,Colorado 4WD,2010,17,23,19
Chevrolet,Colorado 4WD,2010,14,19,16
Chevrolet,Colorado 4WD,2010,18,24,20
Chevrolet,Colorado Cab Chassis inc 2WD,2010,15,20,17
Chevrolet,Colorado Cab Chassis inc 4WD,2010,16,21,18
Chevrolet,Colorado Crew Cab 2WD,2010,18,25,21
Chevrolet,Colorado Crew Cab 2WD,2010,17,23,19
Chevrolet,Colorado Crew Cab 2WD,2010,15,20,17
Chevrolet,Colorado Crew Cab 2WD,2010,18,25,21
Chevrolet,Colorado Crew Cab 4WD,2010,16,21,18
Chevrolet,Colorado Crew Cab 4WD,2010,14,19,16
Chevrolet,Corvette,2010,15,25,18
Chevrolet,Corvette,2010,15,24,18
Chevrolet,Corvette,2010,16,26,19
Chevrolet,Corvette,2010,14,20,16
Chevrolet,Equinox AWD,2010,20,29,23
Chevrolet,Equinox AWD,2010,17,24,20
Chevrolet,Equinox FWD,2010,22,32,26
Chevrolet,Equinox FWD,2010,17,25,20
Chevrolet,Express 1500 2WD Cargo,2010,15,20,17
Chevrolet,Express 1500 2WD Cargo FFV,2010,13,18,15
Chevrolet,Express 1500 2WD Conversion Cargo FFV,2010,13,17,14
Chevrolet,Express 1500 2WD Passenger FFV,2010,13,17,14
Chevrolet,Express 1500 AWD Cargo FFV,2010,13,17,14
Chevrolet,Express 1500 AWD Conversion Cargo FFV,2010,13,17,14
Chevrolet,Express 1500 AWD Passenger FFV,2010,13,17,14
Chevrolet,HHR FWD,2010,19,29,23
Chevrolet,HHR FWD,2010,21,29,24
Chevrolet,HHR FWD FFV,2010,22,30,25
Chevrolet,HHR FWD FFV,2010,22,30,25
Chevrolet,HHR FWD FFV,2010,22,32,26
Chevrolet,HHR FWD FFV,2010,22,30,25
Chevrolet,HHR Panel FWD FFV,2010,22,30,25
Chevrolet,HHR Panel FWD FFV,2010,22,30,25
Chevrolet,HHR Panel FWD FFV,2010,22,32,26
Chevrolet,HHR Panel FWD FFV,2010,22,30,25
Chevrolet,Impala,2010,18,29,22
Chevrolet,Impala FFV,2010,17,27,21
Chevrolet,Impala FFV,2010,18,29,22
Chevrolet,Malibu,2010,22,33,26
Chevrolet,Malibu,2010,17,26,20
Chevrolet,Malibu,2010,18,29,22
Chevrolet,Malibu,2010,22,30,25
Chevrolet,Malibu FFV,2010,22,33,26
Chevrolet,Malibu FFV,2010,19,29,23
Chevrolet,Malibu FFV,2010,22,30,25
Chevrolet,Malibu Hybrid,2010,26,34,29
Chevrolet,Silverado 15 Hybrid 2WD,2010,21,22,22
Chevrolet,Silverado 15 Hybrid 4WD,2010,21,22,21
Chevrolet,Silverado C15 2WD,2010,15,20,17
Chevrolet,Silverado C15 2WD FFV,2010,14,19,16
Chevrolet,Silverado C15 2WD FFV,2010,15,21,17
Chevrolet,Silverado C15 2WD FFV,2010,13,19,15
Chevrolet,Silverado C15 XFE 2WD FFV,2010,15,22,18
Chevrolet,Silverado K15 4WD,2010,14,18,15
Chevrolet,Silverado K15 4WD FFV,2010,13,18,15
Chevrolet,Silverado K15 4WD FFV,2010,15,21,17
Chevrolet,Silverado K15 4WD FFV,2010,12,19,14
Chevrolet,Suburban 1500 2WD FFV,2010,15,21,17
Chevrolet,Suburban 1500 2WD FFV,2010,12,19,14
Chevrolet,Tahoe 1500 2WD FFV,2010,15,21,17
Chevrolet,Tahoe 1500 4WD FFV,2010,15,21,17
Chevrolet,Tahoe Hybrid 2WD,2010,21,22,22
Chevrolet,Tahoe Hybrid 4WD,2010,21,22,21
Chevrolet,Traverse AWD,2010,16,23,19
Chevrolet,Traverse FWD,2010,17,24,19
Chrysler,300 AWD,2010,16,23,18
Chrysler,300 AWD,2010,17,23,19
Chrysler,300/SRT-8,2010,18,26,21
Chrysler,300/SRT-8,2010,17,25,20
Chrysler,300/SRT-8,2010,16,25,19
Chrysler,300/SRT-8,2010,13,19,15
Chrysler,PT Cruiser,2010,19,24,21
Chrysler,Sebring,2010,21,30,24
Chrysler,Sebring,2010,16,27,20
Chrysler,Sebring Convertible,2010,20,29,23
Chrysler,Sebring Convertible,2010,16,27,20
Chrysler,Sebring Convertible FFV,2010,18,26,21
Chrysler,Sebring FFV,2010,19,27,22
Chrysler,Town and Country,2010,17,25,20
Chrysler,Town and Country,2010,16,23,18
Chrysler,Town and Country FFV,2010,17,24,19
Dodge,Avenger,2010,21,30,24
Dodge,Avenger,2010,16,27,20
Dodge,Avenger FFV,2010,19,27,22
Dodge,Caliber,2010,23,27,25
Dodge,Caliber,2010,21,25,23
Dodge,Caliber,2010,23,31,26
Dodge,Caliber,2010,23,29,25
Dodge,Challenger,2010,16,25,19
Dodge,Challenger,2010,17,25,20
Dodge,Challenger,2010,13,19,15
Dodge,Challenger,2010,14,22,16
Dodge,Challenger,2010,15,24,18
Dodge,Charger,2010,18,26,21
Dodge,Charger,2010,17,25,20
Dodge,Charger,2010,16,25,19
Dodge,Charger,2010,13,19,15
Dodge,Charger AWD,2010,16,23,18
Dodge,Charger AWD,2010,17,23,19
Dodge,Dakota Pickup 2WD,2010,15,20,17
Dodge,Dakota Pickup 2WD FFV,2010,14,19,15
Dodge,Dakota Pickup 4WD,2010,14,18,15
Dodge,Dakota Pickup 4WD FFV,2010,14,19,15
Dodge,Grand Caravan,2010,17,25,20
Dodge,Grand Caravan,2010,16,23,18
Dodge,Grand Caravan FFV,2010,17,24,19
Dodge,Journey  2WD,2010,19,25,21
Dodge,Journey  2WD,2010,16,24,19
Dodge,Journey  AWD,2010,15,23,18
Dodge,Nitro 2WD,2010,16,22,18
Dodge,Nitro 2WD,2010,16,21,18
Dodge,Nitro 4WD,2010,15,21,17
Dodge,Nitro 4WD,2010,16,20,17
Dodge,Ram 1500 Pickup 2WD,2010,14,20,16
Dodge,Ram 1500 Pickup 2WD,2010,14,20,16
Dodge,Ram 1500 Pickup 2WD FFV,2010,14,19,15
Dodge,Ram 1500 Pickup 4WD,2010,13,18,15
Dodge,Ram 1500 Pickup 4WD FFV,2010,13,18,15
Dodge,Viper Convertible,2010,13,22,16
Dodge,Viper Coupe,2010,13,22,16
Ferrari,458 Italia,2010,12,18,14
Ferrari,599 GTB Fiorano,2010,11,15,12
Ferrari,599 GTB Fiorano,2010,11,15,12
Ferrari,612 Scaglietti,2010,9,16,11
Ferrari,612 Scaglietti,2010,10,15,12
Ferrari,California,2010,13,19,15
Ford,Crown Victoria FFV,2010,16,24,19
Ford,Edge AWD,2010,17,23,19
Ford,Edge FWD,2010,18,25,20
Ford,Escape 4WD,2010,20,26,22
Ford,Escape 4WD FFV,2010,18,23,20
Ford,Escape FWD,2010,21,28,23
Ford,Escape FWD,2010,22,28,24
Ford,Escape FWD FFV,2010,19,25,21
Ford,Escape Hybrid 4WD,2010,30,27,29
Ford,Escape Hybrid FWD,2010,34,31,32
Ford,Expedition 2WD FFV,2010,14,20,16
Ford,Expedition 4WD FFV,2010,12,17,14
Ford,Explorer 2WD,2010,14,20,16
Ford,Explorer 2WD,2010,15,21,17
Ford,Explorer 4WD,2010,13,19,15
Ford,Explorer 4WD,2010,14,19,16
Ford,Explorer Sport Trac 2WD,2010,14,20,16
Ford,Explorer Sport Trac 2WD,2010,15,21,17
Ford,Explorer Sport Trac 4WD,2010,13,19,15
Ford,Explorer Sport Trac 4WD,2010,14,19,16
Ford,F150 Pickup 2WD,2010,15,19,16
Ford,F150 Pickup 2WD,2010,15,21,17
Ford,F150 Pickup 2WD FFV,2010,14,20,16
Ford,F150 Pickup 4WD,2010,14,18,16
Ford,F150 Pickup 4WD,2010,14,20,16
Ford,F150 Pickup 4WD FFV,2010,14,18,15
Ford,Flex AWD,2010,16,22,18
Ford,Flex AWD,2010,16,22,18
Ford,Flex FWD,2010,17,24,20
Ford,Focus FWD,2010,24,34,28
Ford,Focus FWD,2010,24,35,28
Ford,Fusion AWD,2010,17,24,19
Ford,Fusion AWD FFV,2010,18,25,21
Ford,Fusion FWD,2010,18,27,21
Ford,Fusion FWD,2010,22,31,25
Ford,Fusion FWD,2010,22,29,24
Ford,Fusion FWD FFV,2010,19,27,22
Ford,Fusion Hybrid FWD,2010,41,36,39
Ford,Fusion S FWD,2010,23,34,27
Ford,Fusion S FWD,2010,22,31,25
Ford,Mustang,2010,16,24,19
Ford,Mustang,2010,17,23,19
Ford,Mustang,2010,18,26,21
Ford,Mustang,2010,16,24,19
Ford,Mustang,2010,14,22,17
Ford,Ranger 2WD,2010,19,24,21
Ford,Ranger 2WD,2010,16,21,18
Ford,Ranger 2WD,2010,15,21,17
Ford,Ranger 2WD,2010,22,27,24
Ford,Ranger 4WD,2010,14,18,15
Ford,Ranger 4WD,2010,15,19,17
Ford,Taurus AWD,2010,17,25,20
Ford,Taurus AWD,2010,17,25,20
Ford,Taurus FWD,2010,18,27,21
Ford,Taurus FWD,2010,18,28,22
Ford,Transit Connect,2010,22,25,23
GMC,Acadia AWD,2010,16,23,19
GMC,Acadia FWD,2010,17,24,19
GMC,Canyon 2WD,2010,18,25,21
GMC,Canyon 2WD,2010,17,23,19
GMC,Canyon 2WD,2010,15,20,17
GMC,Canyon 2WD,2010,18,25,21
GMC,Canyon 4WD,2010,17,23,20
GMC,Canyon 4WD,2010,17,23,19
GMC,Canyon 4WD,2010,14,19,16
GMC,Canyon 4WD,2010,18,24,20
GMC,Canyon Cab Chassis Inc 2WD,2010,15,20,17
GMC,Canyon Cab Chassis Inc 4WD,2010,16,21,18
GMC,Canyon Crew Cab 2WD,2010,18,25,21
GMC,Canyon Crew Cab 2WD,2010,17,23,19
GMC,Canyon Crew Cab 2WD,2010,15,20,17
GMC,Canyon Crew Cab 2WD,2010,18,25,21
GMC,Canyon Crew Cab 4WD,2010,16,21,18
GMC,Canyon Crew Cab 4WD,2010,14,19,16
GMC,Savana 1500  AWD (cargo) FFV,2010,13,17,14
GMC,Savana 1500  AWD Conversion (cargo) FFV,2010,13,17,14
GMC,Savana 1500 2WD (cargo),2010,15,20,17
GMC,Savana 1500 2WD (cargo) FFV,2010,13,18,15
GMC,Savana 1500 2WD (Passenger) FFV,2010,13,17,14
GMC,Savana 1500 2WD Conversion (cargo) FFV,2010,13,17,14
GMC,Savana 1500 AWD (Passenger) FFV,2010,13,17,14
GMC,Sierra 15 Hybrid 2WD,2010,21,22,22
GMC,Sierra 15 Hybrid 4WD,2010,21,22,21
GMC,Sierra C15 2WD,2010,15,20,17
GMC,Sierra C15 2WD FFV,2010,14,19,16
GMC,Sierra C15 2WD FFV,2010,15,21,17
GMC,Sierra C15 2WD FFV,2010,13,19,15
GMC,Sierra C15 XFE 2WD FFV,2010,15,22,18
GMC,Sierra K15 4WD,2010,14,18,15
GMC,Sierra K15 4WD FFV,2010,13,18,15
GMC,Sierra K15 4WD FFV,2010,15,21,17
GMC,Sierra K15 4WD FFV,2010,12,19,14
GMC,Sierra K15 AWD FFV,2010,12,19,14
GMC,Terrain AWD,2010,20,29,23
GMC,Terrain AWD,2010,17,24,20
GMC,Terrain FWD,2010,22,32,26
GMC,Terrain FWD,2010,17,25,20
GMC,Yukon 1500 2WD FFV,2010,15,21,17
GMC,Yukon 1500 2WD FFV,2010,14,20,16
GMC,Yukon 1500 4WD FFV,2010,15,21,17
GMC,Yukon 1500 Hybrid 2WD,2010,21,22,22
GMC,Yukon 1500 Hybrid 4WD,2010,21,22,21
GMC,Yukon Denali 1500 AWD FFV,2010,13,20,15
GMC,Yukon XL 1500 2WD FFV,2010,15,21,17
GMC,Yukon XL 1500 2WD FFV,2010,14,20,16
GMC,Yukon XL 1500 2WD FFV,2010,12,19,14
Honda,Accord,2010,21,31,25
Honda,Accord,2010,19,29,23
Honda,Accord,2010,22,31,25
Honda,Accord Coupe,2010,21,31,25
Honda,Accord Coupe,2010,19,28,22
Honda,Accord Coupe,2010,22,31,25
Honda,Accord Coupe,2010,17,25,20
Honda,Accord Crosstour 2WD,2010,18,27,21
Honda,Accord Crosstour 4WD,2010,17,25,20
Honda,Civic,2010,25,36,29
Honda,Civic,2010,26,34,29
Honda,Civic,2010,21,29,24
Honda,Civic CNG,2010,24,36,28
Honda,Civic Hybrid,2010,40,45,42
Honda,CR-V 2WD,2010,21,28,24
Honda,CR-V 4WD,2010,21,27,23
Honda,Element 2WD,2010,20,25,22
Honda,Element 2WD,2010,18,23,20
Honda,Element 4WD,2010,19,24,21
Honda,Element 4WD,2010,18,23,20
Honda,Fit,2010,27,33,30
Honda,Fit,2010,28,35,31
Honda,Fit,2010,27,33,29
Honda,Insight,2010,40,43,41
Honda,Insight,2010,40,43,41
Honda,Odyssey,2010,16,23,18
Honda,Odyssey,2010,17,25,20
Honda,Pilot 2WD,2010,17,23,19
Land Rover,LR2,2010,15,22,17
Land Rover,LR4,2010,12,17,14
Land Rover,Range Rover,2010,12,18,14
Land Rover,Range Rover,2010,12,18,14
Land Rover,Range Rover Sport,2010,12,17,14
Land Rover,Range Rover Sport,2010,13,18,15
Lexus,ES 350,2010,19,27,22
Lexus,GS 350,2010,19,26,22
Lexus,GS 350 AWD,2010,18,25,20
Lexus,GS 450h,2010,22,25,23
Lexus,GS 460,2010,17,24,20
Lexus,GX 460,2010,15,20,17
Lexus,HS 250h,2010,35,34,35
Lexus,IS 250 AWD,2010,20,26,22
Lexus,IS 250/IS 250C,2010,21,29,24
Lexus,IS 250/IS 250C,2010,18,26,21
Lexus,IS 350/IS 350C,2010,18,25,20
Lexus,IS F,2010,16,23,18
Lexus,LS 460,2010,16,24,19
Lexus,LS 460 AWD,2010,16,23,18
Lexus,LS 460 L,2010,16,24,19
Lexus,LS 460 L AWD,2010,16,23,18
Lexus,LS 600h L,2010,20,22,21
Lexus,LX 570,2010,12,18,14
Lexus,RX 350 2WD,2010,18,25,21
Lexus,RX 350 AWD,2010,18,24,20
Lexus,RX 450h,2010,32,28,30
Lexus,RX 450h AWD,2010,30,28,29
Lexus,SC 430,2010,16,23,19
Lincoln,MKS AWD,2010,16,23,19
Lincoln,MKS AWD,2010,17,25,20
Lincoln,MKS FWD,2010,17,24,19
Lincoln,MKT AWD,2010,16,22,18
Lincoln,MKT AWD,2010,16,22,18
Lincoln,MKT FWD,2010,17,23,19
Lincoln,MKX AWD,2010,17,23,19
Lincoln,MKX FWD,2010,18,25,20
Lincoln,MKZ AWD,2010,17,24,19
Lincoln,MKZ FWD,2010,18,27,21
Lincoln,Navigator 2WD FFV,2010,14,20,16
Lincoln,Town Car FFV,2010,16,24,19
Lotus,Elise/Exige,2010,21,27,23
Lotus,Elise/Exige,2010,20,26,22
Lotus,Evora,2010,18,27,21
Maserati,GranTurismo,2010,12,19,15
Maserati,GranTurismo,2010,12,19,15
Maserati,GranTurismo Convertible,2010,12,19,15
Maserati,Quattroporte,2010,11,18,14
Maserati,Quattroporte,2010,11,17,14
Maybach,57,2010,10,16,12
Maybach,57 Zeppelin,2010,10,16,12
Maybach,57S,2010,10,16,12
Mazda,3,2010,24,33,27
Mazda,3,2010,22,29,25
Mazda,3,2010,25,33,28
Mazda,3,2010,21,29,24
Mazda,5,2010,21,27,23
Mazda,5,2010,22,28,24
Mazda,6,2010,21,30,24
Mazda,6,2010,17,25,20
Mazda,6,2010,20,29,23
Mazda,CX-7 2WD,2010,20,28,23
Mazda,CX-7 2WD,2010,18,25,21
Mazda,CX-7 4WD,2010,17,23,19
Mazda,CX-9 2WD,2010,16,22,18
Mazda,CX-9 4WD,2010,15,21,17
Mazda,MX-5,2010,21,28,23
Mazda,MX-5,2010,22,28,24
Mazda,MX-5,2010,21,28,24
Mazda,RX-8,2010,16,23,19
Mazda,RX-8,2010,16,22,18
Mazda,Speed 3,2010,18,25,21
Mazda,Tribute 4WD,2010,20,26,23
Mazda,Tribute 4WD FFV,2010,18,23,20
Mazda,Tribute FWD,2010,21,28,23
Mazda,Tribute FWD,2010,22,28,24
Mazda,Tribute FWD FFV,2010,19,25,21
Mazda,Tribute Hybrid 2WD,2010,34,31,32
Mazda,Tribute Hybrid 4WD,2010,30,27,29
Mercedes-Benz,C300,2010,18,26,21
Mercedes-Benz,C300,2010,18,26,21
Mercedes-Benz,C300 4matic,2010,17,24,20
Mercedes-Benz,C300 4matic FFV,2010,18,25,20
Mercedes-Benz,C300 FFV,2010,18,26,21
Mercedes-Benz,C350,2010,17,25,20
Mercedes-Benz,C63 AMG,2010,12,19,15
Mercedes-Benz,CL550 4matic,2010,14,21,17
Mercedes-Benz,CL600,2010,11,17,14
Mercedes-Benz,CL63 AMG,2010,11,18,14
Mercedes-Benz,CL65 AMG,2010,11,17,13
Mercedes-Benz,CLS550,2010,14,21,16
Mercedes-Benz,CLS63 AMG,2010,12,18,14
Mercedes-Benz,E350,2010,18,26,21
Mercedes-Benz,E350 4matic,2010,17,24,19
Mercedes-Benz,E350 Coupe,2010,17,26,20
Mercedes-Benz,E550,2010,16,24,18
Mercedes-Benz,E550 4matic,2010,15,23,18
Mercedes-Benz,E550 Coupe,2010,15,23,18
Mercedes-Benz,E63 AMG,2010,13,20,15
Mercedes-Benz,G55 AMG,2010,11,15,12
Mercedes-Benz,G550,2010,11,15,13
Mercedes-Benz,GL350 Bluetec,2010,17,23,19
Mercedes-Benz,GL450 4matic,2010,13,17,14
Mercedes-Benz,GL550 4matic,2010,12,17,14
Mercedes-Benz,GLK350,2010,16,22,18
Mercedes-Benz,GLK350 4matic,2010,16,21,18
Mercedes-Benz,ML350,2010,16,21,18
Mercedes-Benz,ML350 4matic,2010,15,20,17
Mercedes-Benz,ML350 Bluetec,2010,18,25,21
Mercedes-Benz,ML450 Hybrid 4matic,2010,21,24,22
Mercedes-Benz,ML550 4matic,2010,13,18,15
Mercedes-Benz,ML63 AMG,2010,11,15,12
Mercedes-Benz,R350 4matic,2010,14,19,16
Mercedes-Benz,R350 Bluetec,2010,18,24,20
Mercedes-Benz,S400 Hybrid,2010,19,25,21
Mercedes-Benz,S550,2010,15,23,18
Mercedes-Benz,S550 4matic,2010,14,21,17
Mercedes-Benz,S600,2010,11,17,13
Mercedes-Benz,S63 AMG,2010,11,18,14
Mercedes-Benz,S65 AMG,2010,11,17,13
Mercedes-Benz,SLK300,2010,19,26,21
Mercedes-Benz,SLK300,2010,18,26,21
Mercedes-Benz,SLK350,2010,18,25,20
Mercedes-Benz,SLK350,2010,17,25,20
Mercedes-Benz,SLK55 AMG,2010,14,22,17
Mercury,Grand Marquis FFV,2010,16,24,19
Mercury,Mariner 4WD,2010,20,26,22
Mercury,Mariner 4WD FFV,2010,18,23,20
Mercury,Mariner FWD,2010,21,28,23
Mercury,Mariner FWD FFV,2010,19,25,21
Mercury,Mariner Hybrid 4WD,2010,30,27,29
Mercury,Mariner Hybrid FWD,2010,34,31,32
Mercury,Milan,2010,22,31,25
Mercury,Milan,2010,22,29,24
Mercury,Milan AWD FFV,2010,18,25,21
Mercury,Milan FFV,2010,19,27,22
Mercury,Milan Hybrid FWD,2010,41,36,39
Mercury,Milan S,2010,23,34,27
Mercury,Milan S,2010,22,31,25
Mercury,Mountaineer 2WD,2010,14,20,16
Mercury,Mountaineer 2WD,2010,15,21,17
Mercury,Mountaineer AWD,2010,13,19,15
Mercury,Mountaineer AWD,2010,14,19,16
MINI,Clubman,2010,25,33,28
MINI,Clubman,2010,28,36,31
MINI,Clubman S,2010,24,32,27
MINI,Clubman S,2010,26,34,29
MINI,Cooper,2010,25,33,28
MINI,Cooper,2010,28,37,32
MINI,Cooper Convertible,2010,25,33,28
MINI,Cooper Convertible,2010,28,36,31
MINI,Cooper S,2010,24,32,27
MINI,Cooper S,2010,26,34,29
MINI,Cooper S Convertible,2010,24,32,27
MINI,Cooper S Convertible,2010,26,34,29
MINI,John Cooper Works,2010,25,33,28
MINI,John Cooper Works Clubman,2010,25,33,28
MINI,John Cooper Works Convertible,2010,25,33,28
Mitsubishi,Eclipse,2010,20,27,23
Mitsubishi,Eclipse,2010,16,24,19
Mitsubishi,Eclipse,2010,20,28,23
Mitsubishi,Eclipse,2010,16,25,19
Mitsubishi,Eclipse Spyder,2010,19,26,22
Mitsubishi,Eclipse Spyder,2010,16,24,19
Mitsubishi,Endeavor 2WD,2010,15,21,18
Mitsubishi,Endeavor AWD,2010,15,19,17
Mitsubishi,Galant,2010,21,30,24
Mitsubishi,Lancer,2010,17,25,20
Mitsubishi,Lancer,2010,22,29,25
Mitsubishi,Lancer,2010,23,30,26
Mitsubishi,Lancer,2010,20,28,23
Mitsubishi,Lancer,2010,22,31,25
Mitsubishi,Lancer Evolution,2010,17,22,19
Mitsubishi,Lancer Evolution,2010,16,22,18
Mitsubishi,Lancer Sportback,2010,17,25,20
Mitsubishi,Lancer Sportback,2010,21,27,23
Mitsubishi,Lancer Sportback,2010,20,27,22
Mitsubishi,Outlander 2WD,2010,21,27,24
Mitsubishi,Outlander 2WD,2010,19,25,21
Mitsubishi,Outlander 4WD,2010,21,25,22
Mitsubishi,Outlander 4WD,2010,18,24,20
Mitsubishi,Raider Pickup 2WD,2010,15,20,17
Nissan,370Z,2010,19,26,22
Nissan,370Z,2010,18,26,21
Nissan,370Z Roadster,2010,18,25,21
Nissan,370Z Roadster,2010,18,25,20
Nissan,Altima,2010,20,27,23
